,s 11,s 12,s 21,s 22
1.3664,(-0.1058335602+0.1570988446j),(0.9763479233+0.1932481825j),(0.9776045084+0.1926002651j),(0.08502475172+0.1641581655j)
1.3696,(-0.1040307879+0.1596529931j),(0.9764509201+0.194532454j),(0.9771904349+0.1937856078j),(0.08480549604+0.1619287282j)
1.3728,(-0.1002836823+0.156180948j),(0.9767581224+0.1940163076j),(0.9775221348+0.1933945119j),(0.07999923825+0.1653454602j)
1.376,(-0.1052495167+0.1599610448j),(0.9767943025+0.1950643063j),(0.9772578478+0.1945401579j),(0.08443889022+0.163583681j)
1.3792,(-0.1051413119+0.1576856375j),(0.9765662551+0.1955014467j),(0.9775823355+0.1947538853j),(0.08448323607+0.1643070728j)
1.3824,(-0.100626722+0.1594371498j),(0.9767184258+0.1954479814j),(0.9778786898+0.1946996152j),(0.08121304214+0.1636407226j)
1.3856,(-0.1020819619+0.1617390513j),(0.9772391915+0.1967484504j),(0.9778935313+0.1956351697j),(0.08183926344+0.1598008722j)
1.3888,(-0.1072614342+0.1632835865j),(0.976429522+0.1971915066j),(0.9768210649+0.1962388903j),(0.08622045815+0.1605715156j)
1.392,(-0.1059036106+0.1608301401j),(0.9771605134+0.1971541941j),(0.9774423838+0.1961696446j),(0.08548367023+0.1631353647j)
1.3952,(-0.1108030453+0.1604635119j),(0.9759143591+0.1977570355j),(0.9771574736+0.1966255605j),(0.08855073154+0.1641457528j)
1.3984,(-0.1057994515+0.1656684577j),(0.9763206244+0.198983252j),(0.9766947627+0.197153002j),(0.08495322615+0.1604617238j)
1.4016,(-0.1110635623+0.1698801368j),(0.9764106274+0.1999667883j),(0.97734797+0.1977881193j),(0.09092518687+0.1561762094j)
1.4048,(-0.1130393893+0.1669227481j),(0.9757794142+0.1994711757j),(0.9763380885+0.1984550059j),(0.09105249494+0.160598889j)
1.408,(-0.1147793755+0.1642176062j),(0.9746578932+0.1996301562j),(0.9761654139+0.197995916j),(0.09141660482+0.1641282737j)
1.4112,(-0.1094156355+0.166955322j),(0.9760038853+0.2001063824j),(0.9766808748+0.1992489398j),(0.08654815704+0.1602573991j)
1.4144,(-0.1145049036+0.1665407866j),(0.9755541086+0.2006153464j),(0.9759998322+0.1994217336j),(0.09250397235+0.1612676829j)
1.4176,(-0.1172673032+0.1626886576j),(0.974763453+0.2010448575j),(0.9753039479+0.1993941963j),(0.09453175962+0.1661956012j)
1.4208,(-0.1194542795+0.1651534736j),(0.974745214+0.201712057j),(0.9756391048+0.2005167603j),(0.09489643574+0.1629495323j)
1.424,(-0.1137493253+0.1628201157j),(0.9747782946+0.2014631331j),(0.9754151106+0.2003156841j),(0.09041424096+0.1661661714j)
1.4272,(-0.1177490205+0.1608243287j),(0.9740092754+0.2014760375j),(0.9745503068+0.1998548806j),(0.09319713712+0.1690288037j)
1.4304,(-0.1151843071+0.1620513946j),(0.9739880562+0.2013931423j),(0.9750230312+0.2001835406j),(0.09112264216+0.1682206094j)
