,s 11,s 12,s 21,s 22
1.3536,(-0.005535652395+0.006739601493j),(1.001665831+0.004195302725j),(1.00163281+0.003532916307j),(0.02322535962-0.007225078531j)
1.3568,(0.007141043432+0.01239166409j),(1.001524925+0.004628974944j),(1.002616286+0.004156947136j),(0.01193016581-0.01289466489j)
1.36,(0.0001637833193+0.01105919387j),(1.00149858+0.004343658686j),(1.002096891+0.004271328449j),(0.01764097624-0.01166834868j)
1.3632,(0.003543443745+0.003039597068j),(1.001357913+0.004481375217j),(1.002007484+0.003912448883j),(0.01472318638-0.003558774944j)
1.3664,(0.002310521435+0.008592545055j),(1.001502156+0.003941893578j),(1.002123237+0.003333166242j),(0.01512705721-0.00912201032j)
1.3696,(0.004677957855+0.01067325566j),(1.001169205+0.004281431437j),(1.001601458+0.004125773907j),(0.01395619288-0.01150084659j)
1.3728,(0.008402951993+0.006444193423j),(1.001255274+0.004461795092j),(1.002146602+0.003772437572j),(0.009801519103-0.006864967756j)
1.376,(0.00451885676+0.01078159176j),(1.001799703+0.004225552082j),(1.001925707+0.004257470369j),(0.0133346431-0.01038670912j)
1.3792,(0.00459844945+0.008411604911j),(1.001405954+0.00463180244j),(1.002270937+0.004003494978j),(0.01324234717-0.009767798707j)
1.3824,(0.009543019347+0.009447862394j),(1.001267195+0.00392100215j),(1.002182484+0.003875017166j),(0.009353160858-0.009818660095j)
1.3856,(0.009286349639+0.01181642152j),(1.001600862+0.004812330008j),(1.001933336+0.004164844751j),(0.008789172396-0.01399498153j)
1.3888,(0.004662090447+0.01372429542j),(1.001528621+0.004426971078j),(1.002129674+0.004062928259j),(0.01293291803-0.01473809872j)
1.392,(0.006103652064+0.01075526699j),(1.002049327+0.004441618919j),(1.002230406+0.003825008869j),(0.01232209429-0.01229326334j)
1.3952,(0.001703067683+0.01101388223j),(1.001640916+0.004635155201j),(1.002540112+0.003963559866j),(0.01531467494-0.0124994535j)
1.3984,(0.007867753506+0.01524604671j),(1.001520872+0.005073726177j),(1.0016675+0.004037663341j),(0.01045025792-0.01528998185j)
1.4016,(0.003752955701+0.01993198879j),(1.001870513+0.004929959774j),(1.002354145+0.003470957279j),(0.01452296972-0.02139207162j)
1.4048,(0.00188999204+0.01686369441j),(1.001583934+0.004342406988j),(1.002027512+0.003958582878j),(0.01560169272-0.01738555729j)
1.408,(0.0002796212211+0.01400932856j),(1.001117229+0.004763364792j),(1.002248049+0.003769725561j),(0.01678070985-0.01423961949j)
1.4112,(0.006613470614+0.01574535109j),(1.001937866+0.00464142859j),(1.002343535+0.004044085741j),(0.01068662945-0.01693990268j)
1.4144,(0.001678797882+0.01577810757j),(1.001733899+0.004661142826j),(1.001897573+0.004323035479j),(0.01637371443-0.01764405891j)
1.4176,(-0.001216938719+0.01207607519j),(1.001482129+0.004937291145j),(1.001643419+0.004019290209j),(0.01932687312-0.01355994213j)
1.4208,(-0.002410977613+0.01475151256j),(1.001594901+0.005358800292j),(1.002095342+0.004535686225j),(0.0186612308-0.01714985631j)
1.424,(0.003200887702+0.01143274456j),(1.00145638+0.005140483379j),(1.001654387+0.004925817251j),(0.01488640346-0.01295287348j)
1.4272,(-0.0007256753743+0.009840903804j),(1.001234412+0.00498482585j),(1.001389027+0.003896385431j),(0.01778374799-0.01110731624j)
1.4304,(0.00246325531+0.01067533251j),(1.001154542+0.004833679646j),(1.002162933+0.004141181707j),(0.01520325337-0.01158000063j)
1.4336,(0.007890960202+0.008982364088j),(1.002208352+0.004895061255j),(1.0028584+0.004247903824j),(0.009728255682-0.01017091796j)
1.4368,(0.0002308203839+0.0105574457j),(1.001545906+0.00503963232j),(1.002166986+0.004897892475j),(0.01708762348-0.01179422811j)
1.44,(0.005609292071+0.006380963605j),(1.00145483+0.005025975406j),(1.0025599+0.004083991051j),(0.01175563969-0.008178823628j)
1.4432,(0.002790982369+0.0130182188j),(1.001794457+0.004984736443j),(1.002335072+0.004101783037j),(0.01394748967-0.01543938927j)
1.4464,(0.005982486997+0.008222464472j),(1.001475453+0.004609495401j),(1.002075434+0.004110664129j),(0.01166557986-0.0101385247j)
