,s 11,s 12,s 21,s 22
1.3664,(-0.1010605842+0.1605468541j),(0.9776935577+0.1950148195j),(0.9786337614+0.1945358813j),(0.07750944793+0.1693845093j)
1.3696,(-0.09925741702+0.163177222j),(0.97780478+0.1964319646j),(0.9781141281+0.1953937411j),(0.07714834809+0.1672459245j)
1.3728,(-0.0954324007+0.1596930027j),(0.9779467583+0.1959166229j),(0.9788378477+0.1952609122j),(0.07235918194+0.1708006412j)
1.376,(-0.1003199145+0.1634419709j),(0.9780151248+0.1968999505j),(0.978551507+0.1962816119j),(0.07670154423+0.1689107418j)
1.3792,(-0.1003135145+0.1613058001j),(0.9777866006+0.1972692609j),(0.978913784+0.1963716447j),(0.07676367462+0.1696876138j)
1.3824,(-0.09569660574+0.1630942523j),(0.977927804+0.1972044408j),(0.9791661501+0.1966625154j),(0.07339198887+0.169087708j)
1.3856,(-0.09707582742+0.1653887033j),(0.9784254432+0.1985591054j),(0.9791389108+0.1974641532j),(0.07402475923+0.1652917862j)
1.3888,(-0.1023077667+0.1668781489j),(0.9775453806+0.1991030276j),(0.9784936905+0.1978427172j),(0.07842972875+0.1662459522j)
1.392,(-0.1009939015+0.1645455658j),(0.978348732+0.198990643j),(0.9786509275+0.1981411874j),(0.07763358206+0.1687280834j)
1.3952,(-0.1058763638+0.1641628593j),(0.9772443175+0.1996394396j),(0.9783105254+0.197801888j),(0.08074205369+0.1696633101j)
1.3984,(-0.1007634774+0.1692369133j),(0.977437973+0.2008483708j),(0.9779605865+0.1989772767j),(0.07697916031+0.1661066562j)
1.4016,(-0.1062039882+0.1736915857j),(0.9775214195+0.20165658j),(0.9784604311+0.1994695365j),(0.08292601258+0.1617273986j)
1.4048,(-0.1079258919+0.1707929224j),(0.9767801762+0.2011251748j),(0.9775825739+0.1999614537j),(0.08303614706+0.166222319j)
1.408,(-0.1096738055+0.1679819673j),(0.975879252+0.2013588995j),(0.9774872065+0.1995971948j),(0.08350767195+0.1697963476j)
1.4112,(-0.1043843627+0.170805499j),(0.9773531556+0.2018457055j),(0.9780495167+0.2008266151j),(0.07867269963+0.1658880115j)
1.4144,(-0.109375149+0.1702374369j),(0.9766945839+0.2024531364j),(0.9771029949+0.2008225918j),(0.08446437865+0.1668544859j)
1.4176,(-0.1122066751+0.1665005982j),(0.9758800864+0.2026468366j),(0.9763708711+0.2013618052j),(0.08650619537+0.1718643606j)
1.4208,(-0.1142155975+0.1690418273j),(0.9759206772+0.2033718824j),(0.9766306877+0.2018674314j),(0.08673062921+0.1686690003j)
1.424,(-0.1085612327+0.1667830944j),(0.9758995175+0.2034204304j),(0.9765257835+0.202222079j),(0.0823661536+0.171993956j)
1.4272,(-0.1125272438+0.1647589207j),(0.9751870632+0.2033023834j),(0.9755421877+0.2014484704j),(0.08507166803+0.1747928113j)
1.4304,(-0.1100234538+0.1660559624j),(0.9753574729+0.2033466697j),(0.9763535261+0.2020649463j),(0.08299520612+0.1740026623j)
1.4336,(-0.1050153226+0.1654640734j),(0.9765940905+0.2038460374j),(0.9774397612+0.2023300827j),(0.07775887847+0.1743917763j)
